no,모델명,연월,연식,연료,인승,최대출력(마력),기통,최대토크(kgm),구동방식,자동수동,국산/수입,신차가(만원),가격(만원),주행거리
2799,기아 스포티지R 2.0 디젤 2WD TLX 최고급형,10/06(11년형),2011.0,디젤,,184.0,4.0,40.0,FF,,국산,2499.0,790.0,240000
2800,현대 더 뉴 아반떼 1.6 VGT 모던,14/12(15년형),2015.0,디젤,,128.0,4.0,28.6,FF,,국산,2110.0,950.0,50000
2801,현대 e-카운티 캠핑카,07/11(08년형),2008.0,디젤,,170.0,,62.0,,수동,국산,,2980.0,170000
2802,현대 뉴 i30 1.6 VGT 익스트림,12/03,2012.0,디젤,,128.0,4.0,26.5,FF,,국산,2205.0,890.0,130000
2803,기아 K3 1.6 GDI 프레스티지,15/04,2015.0,가솔린,,140.0,4.0,16.9,FF,,국산,1895.0,700.0,70000
2804,기아 스팅어 3.3 T-GDi GT,17/05(18년형),2018.0,가솔린,,370.0,6.0,52.0,FR,,국산,4880.0,4200.0,20000
2805,현대 그랜져HG 300 노블,11/03,2011.0,가솔린,,270.0,6.0,31.5,FF,,국산,3527.0,1290.0,150000
2806,제네시스 EQ900 3.8 GDi AWD 프리미엄 럭셔리,16/04,2016.0,가솔린,,315.0,6.0,40.5,AWD,,국산,8740.0,4090.0,90000
2807,현대 벨로스터 익스트림 터보,12/06(13년형),2013.0,가솔린,,,,,,수동,국산,2195.0,1150.0,60000
2808,쌍용 뉴 체어맨W CW600 4트로닉 프레스티지,15/06,2015.0,가솔린,,225.0,6.0,30.2,4WD,,국산,6414.0,2699.0,60000
2809,기아 그랜드카니발 R 프레지던트,10/03,2010.0,디젤,,197.0,,44.5,FF,,국산,3524.0,1250.0,270000
2810,현대 뉴 에쿠스 VS 460 프레스티지,09/03(10년형),2010.0,가솔린,,366.0,8.0,44.8,FR,,국산,10900.0,1530.0,290000
2811,기아 올 뉴 프라이드 1.4 MPI 세단 디럭스,12/12(13년형),2013.0,가솔린,,108.0,4.0,13.9,FF,,국산,1448.0,670.0,60000
2812,현대 뉴 에쿠스 VL380 프레스티지,13/06(14년형),2014.0,가솔린,,334.0,6.0,40.3,FR,,국산,13579.0,6000.0,30000
2813,KCM 1톤 롱바디 카고,17/00,2017.0,디젤,,133.0,,,,수동,국산,,1780.0,145
2814,현대 LF쏘나타 2.0 CVVL 프리미엄 스페셜,14/10(15년형),2015.0,가솔린,,168.0,4.0,20.5,FF,,국산,2955.0,2030.0,30000
2815,현대 싼타페 더스타일 2.2 e-VGT SLX 4WD 탑,09/09(10년형),2010.0,디젤,,200.0,4.0,44.5,4WD,,국산,3875.0,1155.0,190000
2816,현대 e-카운티 캠핑카,05/01,2005.0,디젤,,170.0,,62.0,,수동,국산,,2400.0,150000
2817,쌍용 코란도 스포츠 CX5 2WD 에코,12/11(13년형),2013.0,디젤,,,,,,수동,국산,,880.0,50000
2818,GM대우 토스카 L6 2.0 CDX 다크그레이 고급형,07/01,2007.0,가솔린,,144.0,6.0,19.2,FF,,국산,2281.0,330.0,130000
2819,현대 아반떼MD M16 GDi 탑,12/06,2012.0,가솔린,,140.0,4.0,16.9,FF,,국산,1890.0,870.0,80000
2820,기아 오피러스 프리미엄 GH330 고급형 럭셔리,09/10(10년형),2010.0,가솔린,,259.0,6.0,32.2,FF,,국산,4468.0,1190.0,170000
2821,현대 그랜드스타렉스 12인승 어린이 보호차량,14/04,2014.0,디젤,,175.0,,46.0,FR,,국산,,1897.0,20000
2822,현대 그랜져HG 300 LPG 모던,15/02,2015.0,LPG,,235.0,,28.6,FF,,국산,,1199.0,100000
2823,현대 YF쏘나타 2.0 Y20 LPi 프리미어,10/04,2010.0,LPG,,157.0,,20.0,FF,,국산,,870.0,130000
2824,현대 제네시스 쿠페 380 GT R,10/11(11년형),2011.0,가솔린,,,,,,수동,국산,3444.0,1090.0,120000
2825,기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,13/09(14년형),2014.0,디젤,,184.0,4.0,41.0,FF,,국산,2565.0,1330.0,90000
2826,현대 투스카니 2.0 GL 고급형,06/06,2006.0,가솔린,4.0,143.0,4.0,19.0,FF,수동,국산,1282.0,290.0,110000
2827,기아 봉고3 내장 탑차 ,12/06,2012.0,디젤,,,,,,수동,국산,,1100.0,80000
2828,쉐보레 스파크 LT 스트라이프 에디션,12/03,2012.0,가솔린,,70.0,4.0,9.4,FF,,국산,1182.0,510.0,90000
2829,제네시스 EQ900 3.8 GDi 럭셔리,17/08(18년형),2018.0,가솔린,,315.0,6.0,40.5,FR,,국산,7363.0,5500.0,10000
2830,현대 투싼ix 디젤 LX20 2WD 럭셔리,12/06(13년형),2013.0,디젤,,184.0,4.0,40.0,FF,,국산,2531.0,999.0,110000
2831,쌍용 티볼리 1.6 디젤 2WD VX,15/12(16년형),2016.0,디젤,,115.0,4.0,30.6,FF,,국산,2244.0,1320.0,7000
2832,쉐보레 더 넥스트 스파크 1.0 LT,16/03,2016.0,가솔린,,75.0,4.0,9.6,FF,,국산,1136.0,419.0,30000
2833,기아 K9 3.3 GDI RVIP,13/08(14년형),2014.0,가솔린,,300.0,6.0,35.5,FR,,국산,6280.0,3380.0,80000
2834,기아 더 뉴 스포티지R 2.0 디젤 2WD 노블레스,15/03,2015.0,디젤,,184.0,4.0,41.0,FF,,국산,2785.0,1190.0,100000
2835,기아 K5 2.0 럭셔리,11/05,2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2495.0,1190.0,30000
2836,현대 제네시스 쿠페 200 터보 R,09/07(10년형),2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,2942.0,1030.0,100000
2837,기아 뉴 카렌스 2.0 LPI GLX 고급형,06/06(07년형),2007.0,LPG,,136.0,4.0,18.9,FF,,국산,1840.0,588.0,130000
2838,현대 제네시스 쿠페 200 터보 D,10/09(11년형),2011.0,가솔린,,210.0,4.0,30.5,FR,,국산,2417.0,780.0,130000
2839,쉐보레 스파크 LPGi LS 스타,12/04,2012.0,LPG,,65.0,4.0,9.3,FF,,국산,1211.0,570.0,60000
2840,기아 스포티지 아멕스 그랜드 터보 인터쿨러 디젤,02/08,2002.0,디젤,5.0,87.0,,20.5,4WD,수동,국산,,288.0,130000
2841,기아 카렌스2 2.0 LPG GX 고급형,04/05,2004.0,LPG,,123.0,4.0,17.4,FF,,국산,1332.0,190.0,120000
2842,현대 그랜져 2.0 익스큐티브,88/09,1988.0,가솔린,5.0,,,,FR,수동,국산,,350.0,260000
2843,현대 싼타페 더 프라임 2.0 디젤 2WD 프리미엄,17/09(18년형),2018.0,디젤,,186.0,4.0,41.0,FF,,국산,2985.0,2100.0,30000
2844,기아 레이 1.0 바이퓨얼 럭셔리,12/01,2012.0,가솔린/LPG겸용,,78.0,3.0,9.6,FF,,국산,1505.0,660.0,90000
2845,르노삼성 SM3 네오 SE 플러스,14/09(15년형),2015.0,가솔린,,117.0,4.0,16.1,FF,,국산,1825.0,900.0,50000
2846,기아 봉고3 1톤 4X2 CRDI 초장축 표준캡,16/04,2016.0,디젤,3.0,,,,FR,수동,국산,,1300.0,700
2847,현대 LF쏘나타 2.0 T-GDi 익스클루시브,15/03,2015.0,가솔린,,245.0,4.0,36.0,FF,,국산,3210.0,2190.0,40000
2848,현대 YF쏘나타 2.0 Y20 LPi 럭셔리,12/05,2012.0,LPG,,157.0,,20.0,FF,,국산,,290.0,210000
2849,현대 카운티 캠핑카,01/09,2001.0,디젤,,,,,,수동,국산,,2100.0,280000
2850,기아 K5 2.0 터보 노블레스,13/04,2013.0,가솔린,,271.0,4.0,37.1,FF,,국산,2925.0,1080.0,70000
2851,현대 엑센트 1.4 VVT 위트 프리미어,11/01,2011.0,가솔린,,108.0,4.0,13.9,FF,,국산,1270.0,340.0,130000
2852,현대 NF쏘나타 N20 럭셔리 고급형,07/01,2007.0,가솔린,,144.0,4.0,23.0,FF,,국산,2023.0,348.0,120000
2853,르노삼성 SM5 뉴 임프레션 LE 익스클루시브,10/03,2010.0,가솔린,,143.0,4.0,20.0,FF,,국산,2460.0,990.0,90000
2854,현대 제네시스 쿠페 200 터보 R,08/12(09년형),2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2942.0,540.0,130000
2855,기아 그랜드카니발 GX 고급형,05/12(06년형),2006.0,디젤,,170.0,4.0,36.0,FF,,국산,2090.0,1230.0,100000
2856,기아 뉴 쏘렌토R 디젤 2.0 2WD TLX 스페셜,12/11(13년형),2013.0,디젤,,184.0,4.0,41.0,FF,,국산,2875.0,1310.0,60000
2857,현대 그랜드스타렉스 WAGON 12인승 CVX 럭셔리,11/05,2011.0,디젤,,174.0,,41.0,FR,,국산,2270.0,1198.0,120000
2858,기아 더 뉴 K5 터보 노블레스,14/02,2014.0,가솔린,,271.0,4.0,37.1,FF,,국산,2995.0,2199.0,30000
2859,르노삼성 QM5 디젤 2WD RE,08/01,2008.0,디젤,,150.0,4.0,32.6,FF,,국산,2840.0,550.0,120000
2860,현대 그랜드스타렉스 캠핑카,14/01,2014.0,디젤,,174.0,,41.0,,,국산,,3490.0,40000
2861,GM대우 알페온 EL240 디럭스,15/05,2015.0,가솔린,,185.0,4.0,24.0,FF,,국산,3245.0,2390.0,30000
2862,현대 에쿠스 JS 350 럭셔리,00/10,2000.0,가솔린,,210.0,6.0,31.0,FF,,국산,5852.0,295.0,90000
2863,벤텍 아톰 7인 오토캠핑카,05/12,2005.0,디젤,,,,,FR,,국산,,2600.0,110000
2864,기아 K7 VG270 LPI 럭셔리 프리미엄,10/07(11년형),2011.0,LPG,,165.0,,25.0,FF,,국산,,1890.0,120000
2865,기아 뉴 페이스 카렌스 2.0 LPI GLX 고급형,09/11(10년형),2010.0,LPG,,141.0,4.0,19.0,FF,,국산,1931.0,788.0,130000
2866,현대 YF쏘나타 2.0 Y20 프라임 블랙,10/09(11년형),2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2410.0,770.0,150000
2867,기아 올 뉴 모닝 1.0 가솔린 럭셔리,11/06(12년형),2012.0,가솔린,,82.0,3.0,9.6,FF,,국산,1176.0,699.0,10000
2868,르노삼성 QM6 2.0 dCi 4WD RE 시그니처,17/01,2017.0,디젤,,177.0,4.0,38.8,4WD,,국산,3505.0,2990.0,10000
2869,쌍용 코란도 스포츠 CX7 4WD 클럽,14/06,2014.0,디젤,,155.0,,36.7,4WD,,국산,,1760.0,20000
2870,현대 제네시스 쿠페 200 터보 P,09/07(10년형),2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,650.0,70000
2871,현대 쏘나타 하이브리드 2.0 HEV 프리미엄,14/01,2014.0,가솔린+전기,,191.0,4.0,27.0,FF,,국산,3343.0,1520.0,30000
2872,현대 제네시스 GP500 프라다,12/10(13년형),2013.0,가솔린,,430.0,8.0,52.0,FR,,국산,7708.0,3600.0,60000
2873,기아 K9 3.3 GDI 노블레스 스페셜,12/12(13년형),2013.0,가솔린,,300.0,6.0,35.5,FR,,국산,6400.0,3400.0,40000
2874,기아 뉴 쏘렌토R 디젤 2.0 2WD 리미티드 스페셜,13/04(14년형),2014.0,디젤,,184.0,4.0,41.0,FF,,국산,3430.0,2199.0,40000
2875,현대 뉴 에쿠스 VS 380 프리미엄,12/12(13년형),2013.0,가솔린,,334.0,6.0,40.3,FR,,국산,7833.0,2090.0,120000
2876,현대 엑센트  1.6 VGT 럭셔리,13/02,2013.0,디젤,,128.0,4.0,26.5,FF,,국산,1444.0,620.0,90000
2877,제네시스 EQ900 3.8 GDi 럭셔리,16/05,2016.0,가솔린,,315.0,6.0,40.5,FR,,국산,7170.0,5150.0,40000
2878,제네시스 G80 3.3 GDi 럭셔리,16/10(17년형),2017.0,가솔린,,282.0,6.0,35.4,FR,,국산,4810.0,4550.0,10000
2879,현대 아반떼HD 1.6 VVT X16 프리미어,08/02,2008.0,가솔린,,121.0,4.0,15.6,FF,,국산,1544.0,290.0,110000
2880,기아 레이 1.0 터보 프레스티지,14/05,2014.0,가솔린,,106.0,3.0,14.0,FF,,국산,1574.0,1099.0,60000
2881,현대 YF쏘나타 2.0 Y20 프리미어 고급형,10/09(11년형),2011.0,가솔린,,165.0,4.0,20.2,FF,,국산,2490.0,1150.0,90000
2882,현대 더 럭셔리 그랜져 Q270 프리미어 스마트팩,09/12(10년형),2010.0,가솔린,,195.0,6.0,25.5,FF,,국산,3474.0,590.0,280000
2883,기아 로체 이노베이션 2.0 LPI LEX,09/04,2009.0,LPG,,141.0,,19.0,FF,,국산,,360.0,110000
2884,기아 더 뉴 스포티지R 2.0 디젤 2WD 럭셔리,14/02,2014.0,디젤,,,,,,수동,국산,2050.0,890.0,100000
2885,기아 그랜드카니발 R GLX R스페셜,10/02,2010.0,디젤,,197.0,,44.5,FF,,국산,2915.0,1950.0,110000
2886,쌍용 뉴코란도 290SR 디젤 최고급형,03/07,2003.0,디젤,,132.0,5.0,29.5,4WD,,국산,2272.0,299.0,180000
2887,기아 올 뉴 카니발 2.2 디젤 9인승 노블레스,14/10(15년형),2015.0,디젤,,202.0,4.0,45.0,FF,,국산,3630.0,3450.0,30000
2888,기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스 스페셜,14/10(15년형),2015.0,디젤,,186.0,4.0,41.0,FF,,국산,3320.0,2030.0,80000
2889,기아 뉴 오피러스 GH330 고급형 스페셜,07/06,2007.0,가솔린,,247.0,,31.5,FF,,국산,,880.0,100000
2890,기아 K5 2.0 LPi 프레스티지,10/09(11년형),2011.0,LPG,,144.0,,19.3,FF,,국산,,1050.0,100000
2891,현대 제네시스 쿠페 200 터보 R,08/10(09년형),2009.0,가솔린,4.0,210.0,4.0,30.5,FR,수동,국산,2942.0,1250.0,100000
2892,현대 제네시스 쿠페 200 터보 P,08/12(09년형),2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,980.0,110000
2893,기아 올 뉴 프라이드 1.6 GDI 해치백 프레스티지 에코 플러스,12/02,2012.0,가솔린,,140.0,4.0,16.9,FF,,국산,1700.0,850.0,90000
2894,기아 K7 VG270 프레스티지 프리미엄,10/07(11년형),2011.0,가솔린,,200.0,6.0,26.0,FF,,국산,3805.0,1590.0,120000
2895,기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스 스페셜,16/12(17년형),2017.0,디젤,,186.0,4.0,41.0,FF,,국산,3335.0,2330.0,80000
2896,현대 제네시스 쿠페 380 GT P,09/08(10년형),2010.0,가솔린,,,,,,수동,국산,3042.0,1490.0,90000
2897,기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,15/07(16년형),2016.0,디젤,,202.0,4.0,45.0,FF,,국산,3270.0,2650.0,50000
2898,기아 레이 1.0 가솔린 프레스티지,15/05(16년형),2016.0,가솔린,,78.0,3.0,9.6,FF,,국산,1534.0,530.0,100000
2899,기아 더 뉴 K5 터보 노블레스,13/07(14년형),2014.0,가솔린,,271.0,4.0,37.1,FF,,국산,2995.0,1000.0,150000
2900,현대 YF쏘나타 2.0 Y20 프리미어 최고급형,09/12(10년형),2010.0,가솔린,,165.0,4.0,20.2,FF,,국산,2580.0,890.0,120000
2901,GM대우 토스카 프리미엄6 L6 2.0 익스크루시브,10/06,2010.0,가솔린,,144.0,6.0,19.2,FF,,국산,2305.0,575.0,140000
2902,현대 그랜져IG 2.4 GDI 프리미엄 스페셜,17/04(18년형),2018.0,가솔린,,190.0,4.0,24.6,FF,,국산,3400.0,2400.0,20000
2903,기아 스팅어 2.0 T-GDi AWD 플래티넘,17/09(18년형),2018.0,가솔린,,255.0,,36.0,AWD,,국산,4030.0,3259.0,30000
2904,현대 아반떼MD M16 GDi 럭셔리,10/11(11년형),2011.0,가솔린,,,4.0,,FF,,국산,1520.0,599.0,110000
2905,현대 더 뉴 아반떼 1.6 VGT 스타일,15/07(16년형),2016.0,디젤,,,4.0,,FF,,국산,1630.0,1.0,30000
2906,기아 K5 2.0 터보 프레스티지,12/05(13년형),2013.0,가솔린,,271.0,4.0,37.1,FF,,국산,2850.0,1350.0,90000
2907,현대 그랜드스타렉스 캠핑카,16/02,2016.0,디젤,,174.0,,41.0,,,국산,,2850.0,50000
2908,기아 올 뉴 모닝 1.0 가솔린 디럭스,14/03,2014.0,가솔린,,,3.0,,FF,,국산,1070.0,589.0,80000
2909,현대 제네시스 쿠페 200 터보 P,09/02,2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,1150.0,90000
2910,현대 제네시스 쿠페 200 터보 P,12/05(11년형),2011.0,가솔린,,210.0,4.0,30.5,FR,,국산,2723.0,1450.0,50000
2911,GM대우 라세티 프리미어 CDX 일반형,09/10(10년형),2010.0,가솔린,,114.0,4.0,15.5,FF,,국산,1662.0,390.0,90000
2912,현대 투싼 2.0 CRDi 디젤 MX 4WD 최고급형,04/05,2004.0,디젤,,,4.0,,,,국산,1984.0,378.0,140000
2913,기아 스포티지R 2.0 디젤 2WD TLX 최고급형,12/01,2012.0,디젤,,184.0,4.0,40.0,FF,,국산,2499.0,690.0,170000
2914,현대 아반떼HD 1.6 VVT S16 럭셔리,08/05,2008.0,가솔린,,,4.0,,FF,,국산,1389.0,320.0,100000
2915,현대 더 뉴 제네시스 쿠페 200 터보 S,12/12,2012.0,가솔린,,275.0,4.0,38.0,FR,,국산,2965.0,1199.0,90000
2916,기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,14/05,2014.0,디젤,,184.0,4.0,41.0,FF,,국산,2565.0,1350.0,120000
2917,현대 제네시스 BH330 럭셔리 프라임팩,09/07,2009.0,가솔린,,262.0,6.0,32.1,FR,,국산,4898.0,1290.0,130000
2918,기아 K7 VG350 노블레스,11/04,2011.0,가솔린,,290.0,6.0,34.5,FF,,국산,3875.0,1700.0,60000
2919,기아 뉴 프라이드 1.6 CVVT 4도어 SLX,08/07,2008.0,가솔린,,112.0,4.0,14.8,FF,,국산,1081.0,482.0,140000
2920,기아 스포티지R 2.0 디젤 2WD TLX 프리미엄,10/09(11년형),2011.0,디젤,,184.0,4.0,40.0,FF,,국산,2615.0,930.0,200000
2921,기아 스포티지R 2.0 디젤 2WD TLX 고급형,12/06,2012.0,디젤,5.0,184.0,4.0,40.0,FF,수동,국산,2187.0,590.0,200000
2922,기아 K3 1.6 GDI 트렌디,14/04(15년형),2015.0,가솔린,,140.0,4.0,16.9,FF,,국산,1837.0,970.0,70000
2923,GM대우 All New 마티즈 SE 고급형,07/06(08년형),2008.0,가솔린,,52.0,3.0,7.4,FF,,국산,738.0,208.0,120000
2924,기아 뉴 프라이드 1.4 DOHC 4도어 LX,09/07,2009.0,가솔린,,95.0,4.0,12.6,FF,,국산,1009.0,360.0,60000
2925,현대 그랜져HG 300 LPG 이그제큐티브,11/07,2011.0,LPG,,235.0,,28.6,FF,,국산,,890.0,220000
2926,쉐보레 스파크 LPGi L,14/12,2014.0,LPG,,65.0,4.0,9.3,FF,,국산,1025.0,488.0,60000
2927,쌍용 체어맨W CW600 프레스티지,09/10(10년형),2010.0,가솔린,,225.0,6.0,30.2,FR,,국산,5615.0,1570.0,60000
2928,기아 K3 1.6 GDI 노블레스,13/01,2013.0,가솔린,,140.0,4.0,16.9,FF,,국산,1975.0,830.0,80000
2929,쌍용 뉴 체어맨W CW600 4트로닉 프레스티지,13/03,2013.0,가솔린,,225.0,6.0,30.2,AWD,,국산,6438.0,2500.0,70000
2930,현대 아반떼MD M16 GDi 럭셔리,11/05,2011.0,가솔린,,,4.0,,FF,,국산,1520.0,660.0,120000
2931,현대 더 뉴 아반떼 1.6 GDi 프리미엄 튜익스 에디션 II,14/09(15년형),2015.0,가솔린,,140.0,4.0,16.9,FF,,국산,2065.0,1100.0,120000
2932,현대 그랜져HG 300 익스클루시브 스페셜,14/12(15년형),2015.0,가솔린,,270.0,6.0,31.5,FF,,국산,3875.0,1530.0,90000
2933,현대 더 뉴 아반떼 1.6 GDi 프리미엄 튜익스 에디션 II,14/04,2014.0,가솔린,,140.0,4.0,16.9,FF,,국산,2065.0,1580.0,40000
2934,현대 LF쏘나타 1.7 e-VGT 스마트,15/07(16년형),2016.0,디젤,,141.0,4.0,34.7,FF,,국산,2729.0,1388.0,100000
2935,기아 뉴 오피러스 GH330 고급형,07/01,2007.0,가솔린,,247.0,6.0,31.5,FF,,국산,3880.0,560.0,170000
2936,현대 그랜져TG Q270 LPI 장애인용,06/01,2006.0,LPG,,165.0,,25.0,FF,,국산,24120.0,550.0,250000
2937,기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스 스페셜,15/11(16년형),2016.0,디젤,,186.0,4.0,41.0,FF,,국산,3320.0,2500.0,60000
2938,현대 아반떼HD 1.6 VGT E16 디럭스,07/10,2007.0,디젤,5.0,,4.0,,FF,수동,국산,1490.0,199.0,180000
2939,현대 벨로스터 PYL,15/03,2015.0,가솔린,,140.0,4.0,17.0,FF,,국산,2095.0,800.0,70000
2940,기아 봉고3 1.2톤,09/08(10년형),2010.0,디젤,3.0,,,,,수동,국산,,420.0,340000
2941,현대 에쿠스 리무진 VL 450 ,04/11(05년형),2005.0,가솔린,,270.0,8.0,37.9,FF,,국산,8490.0,450.0,290000
2942,쌍용 체어맨W CW600 프레스티지,10/10(11년형),2011.0,가솔린,,225.0,6.0,30.2,FR,,국산,5615.0,690.0,160000
2943,기아 K7 VG350 노블레스 프리미엄,11/03,2011.0,가솔린,,290.0,6.0,34.5,FF,,국산,4135.0,1390.0,120000
2944,현대 e-카운티 롱바디 슈퍼 25인승,08/12,2008.0,디젤,,170.0,,62.0,,수동,국산,,1577.0,20000
2945,쉐보레 말리부 2.4 LTZ,14/06,2014.0,가솔린,,170.0,6.0,23.0,FF,,국산,3162.0,1300.0,80000
2946,쌍용 뉴 체어맨W CW700 4트로닉 VIP,16/08(17년형),2017.0,가솔린,,250.0,6.0,35.0,4WD,,국산,7073.0,3799.0,20000
2947,현대 제네시스 쿠페 380 GT R,09/02,2009.0,가솔린,,303.0,6.0,36.8,FR,,국산,3392.0,1450.0,100000
2948,현대 다이너스티 2.5 시그니처 SV,05/01,2005.0,가솔린,,162.0,6.0,20.8,FF,,국산,2809.0,590.0,90000
2949,현대 포터Ⅱ 초장축 더블캡 CRDi 기본형,10/05,2010.0,디젤,,,,,,수동,국산,,630.0,160000
2950,현대 제네시스 쿠페 200 터보 D,09/11(10년형),2010.0,가솔린,,210.0,4.0,30.5,FR,,국산,2320.0,790.0,90000
2951,GM대우 토스카 프리미엄6 L6 2.0 CDX,08/04,2008.0,가솔린,,144.0,6.0,19.2,FF,,국산,2378.0,170.0,180000
2952,현대 그랜져HG 300 LPG 장애인용,11/05,2011.0,LPG,,235.0,,28.6,FF,,국산,,2199.0,90000
2953,기아 더 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스 스페셜,18/08(19년형),2019.0,디젤,,202.0,4.0,45.0,FF,,국산,5606.0,4780.0,20000
2954,현대 아슬란 G330 프리미엄,15/01,2015.0,가솔린,,294.0,6.0,35.3,FF,,국산,4190.0,1390.0,130000
2955,현대 i30 1.6 VVT 프리미어,08/02,2008.0,가솔린,,121.0,4.0,15.7,FF,,국산,1685.0,399.0,120000
2956,기아 더 뉴 쏘렌토 2.0 T-GDi 2WD 노블레스,17/09(18년형),2018.0,가솔린,,240.0,4.0,36.0,FF,,국산,3090.0,2650.0,10000
2957,제네시스 EQ900 3.8 GDi AWD 럭셔리,16/03,2016.0,가솔린,,315.0,6.0,40.5,AWD,,국산,7415.0,4550.0,80000
2958,기아 올 뉴 모닝 1.0 가솔린 트렌디 JA,18/03,2018.0,가솔린,,,3.0,,FF,,국산,1090.0,920.0,20000
2959,현대 e-카운티 표준형 슈퍼 25인승,05/09(06년형),2006.0,디젤,,170.0,,62.0,,수동,국산,,1588.0,100000
2960,기아 로체 이노베이션 2.0 LPI LX 고급형 스페셜,09/12(10년형),2010.0,LPG,,141.0,,19.0,FF,,국산,,520.0,140000
2961,현대 제네시스 쿠페 200 터보 P,08/11(09년형),2009.0,가솔린,,210.0,4.0,30.5,FR,,국산,2641.0,790.0,110000
2962,현대 제네시스 쿠페 380 GT RW,09/10(10년형),2010.0,가솔린,,303.0,6.0,36.8,FR,,국산,3428.0,970.0,100000
2963,현대 엑센트 1.6 VGT 스마트,13/03(14년형),2014.0,디젤,,128.0,4.0,26.5,FF,,국산,1473.0,578.0,120000
2964,현대 제네시스 BH380 프레스티지,12/09(13년형),2013.0,가솔린,,334.0,6.0,40.3,FR,,국산,5790.0,2290.0,60000
2965,현대 그랜져HG 하이브리드 2.4 HEV 프리미엄,15/03,2015.0,가솔린+전기,,199.0,4.0,26.7,FF,,국산,3709.0,2390.0,40000
2966,쌍용 액티언 CX7 2WD 고급형,07/05,2007.0,디젤,,,4.0,,FR,,국산,2076.0,200.0,230000
2967,현대 그랜져HG 하이브리드 2.4 HEV 프리미엄,15/01,2015.0,가솔린+전기,,199.0,4.0,26.7,FF,,국산,3709.0,1590.0,150000
2968,현대 제네시스 BH330 모던 스페셜,12/09(13년형),2013.0,가솔린,,300.0,6.0,35.5,FR,,국산,4665.0,1550.0,130000
2969,현대 아반떼AD 스포츠 1.6 T-GDi M/T,16/06(17년형),2017.0,가솔린,5.0,204.0,4.0,26.9,FF,수동,국산,1965.0,1590.0,40000
2970,기아 레이 1.0 터보 프레스티지,14/01,2014.0,가솔린,,106.0,3.0,14.0,FF,,국산,1574.0,950.0,40000
2971,현대 베라크루즈 2WD 300VXL 프리미엄,07/07(08년형),2008.0,디젤,,240.0,6.0,46.0,FF,,국산,4239.0,1050.0,190000
2972,기아 뉴 오피러스 GH330 최고급형,06/07(07년형),2007.0,가솔린,,247.0,6.0,31.5,FF,,국산,4250.0,850.0,100000
2973,현대 그랜드스타렉스 캠핑카,16/06(17년형),2017.0,디젤,,174.0,,41.0,,,국산,,3900.0,100000
2974,현대 그랜드스타렉스 리무진,13/10(14년형),2014.0,디젤,,175.0,,46.0,FR,,국산,,2050.0,100000
2975,쌍용 코란도 C 클러비 2WD 파크,11/05,2011.0,디젤,,181.0,4.0,36.7,FF,,국산,2455.0,1300.0,50000
2976,현대 더 뉴 제네시스 쿠페 200 터보 S,12/06,2012.0,가솔린,,275.0,4.0,38.0,FR,,국산,2965.0,1470.0,80000
2977,르노삼성 SM520V,04/03,2004.0,가솔린,,144.0,6.0,18.6,FF,,국산,2149.0,280.0,130000
2978,현대 제네시스 쿠페 200 터보 D,08/10(09년형),2009.0,가솔린,4.0,210.0,4.0,30.5,FR,수동,국산,2320.0,500.0,140000
2979,현대 그랜져HG 240 모던,11/11(12년형),2012.0,가솔린,,190.0,4.0,25.5,FF,,국산,2976.0,1190.0,140000
2980,현대 아반떼AD 1.6 T-GDi 스포츠 익스트림 셀렉션,16/10(17년형),2017.0,가솔린,,204.0,4.0,26.9,FF,,국산,2415.0,1350.0,90000
2981,현대 뉴스타렉스 리무진 JUMBO 9인승 2WD CLUB,05/09(06년형),2006.0,디젤,,145.0,,36.0,FR,,국산,,390.0,260000
2982,기아 스포티지 4세대 2.0 디젤 2WD 트렌디,16/04,2016.0,디젤,,186.0,4.0,41.0,FF,,국산,2346.0,1299.0,140000
2983,기아 스포티지R 2.0 디젤 4WD LX,10/06(11년형),2011.0,디젤,,184.0,4.0,40.0,4WD,,국산,2215.0,1480.0,60000
2984,쉐보레 크루즈 1.8 LTZ,12/01,2012.0,가솔린,,142.0,4.0,17.9,FF,,국산,1747.0,550.0,130000
2985,스내일 590 OS 캠핑카,10/05,2010.0,디젤,,,,,,,국산,,5990.0,30000
2986,기아 쏘렌토 2.5 LX 2WD 레저형,05/08,2005.0,디젤,,145.0,4.0,33.0,FR,,국산,2108.0,482.0,180000
2987,기아 K3 1.6 GDI 럭셔리,13/11(14년형),2014.0,가솔린,,140.0,4.0,16.9,FF,,국산,1734.0,800.0,80000
