모델명,연식,최대출력(마력),기통,최대토크(kgm),신차가(만원),가격(만원),주행거리,구동방식
기아 K3 1.6 GDI 럭셔리,2015.0,140.0,4.0,16.9,1744.0,1170.0,20000,0
기아 더 뉴 스포티지R 2.0 디젤 2WD 트렌디,2015.0,184.0,4.0,41.0,2405.0,2090.0,100000,0
기아 K5 2.0 프레스티지,2011.0,165.0,4.0,20.2,2595.0,1399.0,70000,0
기아 올 뉴 K7 3.0 LPi 럭셔리,2018.0,235.0,6.0,28.6,2705.0,1800.0,30000,0
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스 스페셜,2017.0,186.0,4.0,41.0,3335.0,2650.0,30000,0
현대 뉴 i30 1.6 VGT 익스트림,2012.0,128.0,4.0,26.5,2205.0,1090.0,110000,0
르노삼성 뉴 SM5 LE 플러스,2006.0,140.0,4.0,18.8,2310.0,390.0,120000,0
현대 뉴 투싼ix 2.0 디젤 2WD 월드컵 에디션,2015.0,184.0,4.0,40.0,2415.0,1390.0,60000,0
현대 투스카니 2.0 GT 고급형,2006.0,143.0,4.0,19.0,1576.0,290.0,90000,0
현대 그랜져TG Q270 디럭스,2007.0,195.0,6.0,25.6,2771.0,570.0,140000,0
현대 뉴 i30 1.6 VGT 익스트림,2012.0,128.0,4.0,26.5,2205.0,850.0,100000,0
현대 싼타페DM 2.0 VGT 2WD 익스클루시브,2015.0,184.0,4.0,41.0,3198.0,2390.0,70000,0
쉐보레 어메이징 뉴 크루즈 1.8 LTZ,2016.0,142.0,4.0,18.0,2037.0,1320.0,20000,0
기아 포르테 1.6 GDI 럭셔리,2011.0,140.0,4.0,16.9,1500.0,640.0,110000,0
현대 뉴 제네시스 G330 프리미엄,2015.0,282.0,6.0,35.4,5255.0,2150.0,130000,1
현대 쏘나타 하이브리드 2.0 HEV 프리미엄,2014.0,191.0,4.0,27.0,3343.0,850.0,80000,0
기아 스포티지R 2.0 디젤 2WD TLX 최고급형,2012.0,184.0,4.0,40.0,2499.0,1490.0,160000,0
기아 K9 3.8 GDI 노블레스 스페셜,2013.0,334.0,6.0,40.3,7730.0,1390.0,230000,1
제네시스 EQ900 3.3 T-GDi AWD 프리미엄 럭셔리,2017.0,370.0,6.0,52.0,9326.0,7850.0,20000,3
현대 뉴 에쿠스 VS380 프리미엄,2014.0,334.0,6.0,40.3,7833.0,3990.0,40000,1
현대 제네시스 쿠페 200 터보 P,2010.0,210.0,4.0,30.5,2641.0,780.0,60000,1
현대 뉴 투싼ix 2.0 디젤 2WD 모던,2015.0,184.0,4.0,40.0,2610.0,1550.0,80000,0
쉐보레 더 넥스트 스파크 1.0 LTZ,2016.0,75.0,4.0,9.6,1308.0,890.0,50000,0
제네시스 G70 2.0 T-GDi AWD 스포츠 패키지,2018.0,255.0,4.0,36.0,4525.0,4240.0,10000,3
현대 LF쏘나타 2.0 CVVL 스마트 스페셜,2015.0,168.0,4.0,20.5,2695.0,2290.0,10000,0
현대 뉴 에쿠스 VS 380 프라임,2010.0,290.0,6.0,36.5,7580.0,2399.0,140000,1
현대 그랜져HG 300 프리미엄,2014.0,270.0,6.0,31.5,3273.0,1550.0,50000,0
현대 아반떼XD 1.5  스포츠 5도어 기본형,2001.0,108.0,4.0,14.3,945.0,198.0,160000,0
기아 그랜드카니발 GLX 최고급형,2007.0,170.0,4.0,36.0,2510.0,990.0,220000,0
기아 더 프레스티지 K7 2.4 GDI 럭셔리,2012.0,201.0,4.0,25.5,2999.0,1000.0,110000,0
기아 스팅어 2.0 T-GDi 프라임,2018.0,255.0,4.0,36.0,3500.0,2799.0,30000,1
쌍용 체어맨W CW700 4트로닉 VVIP,2011.0,250.0,6.0,35.0,7650.0,1390.0,120000,2
제네시스 EQ900 3.8 GDi AWD 프리미엄 럭셔리,2016.0,315.0,6.0,40.5,8740.0,4950.0,60000,3
현대 그랜져HG 300 로얄,2011.0,270.0,6.0,31.5,3901.0,1799.0,100000,0
현대 제네시스 BH330 그랜드,2008.0,262.0,6.0,32.1,4149.0,500.0,230000,1
쉐보레 크루즈 2.0 LTZ 플러스,2014.0,163.0,4.0,36.7,2307.0,1270.0,70000,0
제네시스 EQ900 5.0 GDi AWD 프레스티지,2017.0,425.0,8.0,53.0,11584.0,4290.0,90000,3
쉐보레 크루즈 2.0 LTZ 플러스,2014.0,163.0,4.0,36.7,2307.0,570.0,80000,0
르노삼성 SM6 2.0 GDe SE,2016.0,150.0,4.0,20.6,2640.0,1319.0,70000,0
현대 벨로스터 DCT 팩,2012.0,140.0,4.0,17.0,2200.0,630.0,140000,0
현대 제네시스 쿠페 380 GT R,2009.0,303.0,6.0,36.8,3392.0,890.0,100000,1
르노삼성 SM7 뉴 아트 LE23,2011.0,170.0,6.0,23.0,3080.0,1090.0,70000,0
기아 쏘렌토R 2.2 LX 4WD 고급형,2010.0,200.0,4.0,44.5,2850.0,590.0,250000,2
기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,2014.0,184.0,4.0,41.0,2565.0,1050.0,160000,0
쉐보레 올 뉴 말리부 1.5 터보 LT 디럭스,2017.0,166.0,4.0,25.5,2863.0,1999.0,10000,0
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스,2016.0,202.0,4.0,45.0,5415.0,3850.0,70000,0
제네시스 EQ900 5.0 GDi AWD 프레스티지 리무진,2016.0,425.0,8.0,53.0,15300.0,5800.0,50000,3
기아 레이 1.0 가솔린 럭셔리,2014.0,78.0,3.0,9.6,1406.0,770.0,70000,0
현대 그랜져TG Q270 럭셔리,2008.0,195.0,6.0,25.6,2971.0,320.0,210000,0
현대 뉴 투싼ix 2.0 디젤 2WD 모던,2014.0,184.0,4.0,40.0,2590.0,1190.0,70000,0
기아 레이 1.0 가솔린 럭셔리,2014.0,78.0,3.0,9.6,1406.0,720.0,70000,0
현대 제네시스 쿠페 200 터보 P,2009.0,210.0,4.0,30.5,2641.0,790.0,130000,1
현대 그랜져IG 3.0 GDI 익스클루시브,2017.0,266.0,6.0,31.4,3550.0,2690.0,60000,0
기아 뉴 오피러스 GH270 스페셜 럭셔리,2009.0,192.0,6.0,25.5,3555.0,550.0,170000,0
현대 뉴 에쿠스 VS 460 프레스티지,2010.0,366.0,8.0,44.8,10900.0,1290.0,140000,1
르노삼성 뉴 SM5 RE,2010.0,141.0,4.0,19.8,2650.0,640.0,80000,0
기아 K5 2세대 2.0 가솔린 SX 프레스티지,2019.0,168.0,4.0,20.5,2515.0,1900.0,10000,0
기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,2015.0,184.0,4.0,41.0,2590.0,750.0,70000,0
기아 셀토스 1.6 터보 2WD 노블레스,2020.0,177.0,4.0,27.0,2490.0,2360.0,10000,0
쌍용 체어맨W CW700 프레스티지,2009.0,250.0,6.0,35.0,6620.0,1090.0,90000,1
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 프레스티지,2018.0,202.0,4.0,45.0,5163.0,3542.0,40000,0
르노삼성 뉴 SM5  RE,2011.0,141.0,4.0,19.8,2710.0,990.0,80000,0
현대 그랜져HG 300 노블,2012.0,270.0,6.0,31.5,3527.0,1570.0,160000,0
현대 뉴 투스카니 2.0 GTS-2 레드팩,2007.0,143.0,4.0,19.0,2137.0,440.0,160000,0
기아 그랜드카니발 GLX 최고급형,2006.0,170.0,4.0,36.0,2510.0,830.0,130000,0
기아 더 뉴 K7 2.4 GDI 프레스티지,2012.0,201.0,4.0,25.5,3022.0,1390.0,70000,0
현대 더 뉴 맥스크루즈 R2.2 e-VGT 4WD 파이니스트 에디션,2017.0,202.0,4.0,45.0,4309.0,2870.0,40000,2
기아 더 뉴 K5 2.0 노블레스,2014.0,172.0,4.0,20.5,2785.0,1570.0,40000,0
현대 제네시스 BH380 로얄,2008.0,290.0,6.0,36.5,5472.0,1880.0,170000,1
기아 올 뉴 모닝 1.0 가솔린 럭셔리,2013.0,82.0,3.0,9.6,1176.0,520.0,30000,0
현대 뉴 투스카니 2.7 엘리사 고급형,2007.0,167.0,6.0,25.0,2462.0,670.0,120000,0
현대 그랜져TG Q270 디럭스,2008.0,195.0,6.0,25.6,2771.0,420.0,80000,0
기아 K3 1.6 GDI 디럭스,2014.0,140.0,4.0,16.9,1543.0,750.0,70000,0
기아 로체 이노베이션 2.0 LEX 고급형,2009.0,163.0,4.0,20.1,2075.0,270.0,120000,0
현대 제네시스 쿠페 200 터보 P,2009.0,210.0,4.0,30.5,2641.0,399.0,130000,1
현대 제네시스 쿠페 380 GT RW,2011.0,303.0,6.0,36.8,3582.0,1200.0,40000,1
기아 올 뉴 모닝 1.0 가솔린 럭셔리,2015.0,82.0,3.0,9.6,1176.0,540.0,40000,0
GM대우 마티즈 크리에이티브 그루브 고급형,2010.0,70.0,4.0,9.4,1046.0,510.0,80000,0
기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,2015.0,184.0,4.0,41.0,2590.0,1490.0,120000,0
기아 더 뉴 K5 2세대 2.0 가솔린 인텔리전트,2019.0,163.0,4.0,20.0,2930.0,2500.0,5000,0
현대 엑센트 1.4 VVT 프리미어,2012.0,108.0,4.0,13.9,1240.0,290.0,90000,0
쉐보레 스파크 LT,2014.0,70.0,4.0,9.4,1168.0,490.0,50000,0
현대 투스카니 2.0 GL 고급형,2006.0,143.0,4.0,19.0,1282.0,365.0,140000,0
기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,2016.0,202.0,4.0,45.0,3270.0,3200.0,4000,0
현대 뉴 제네시스 G330 프리미엄 AWD,2015.0,282.0,6.0,35.4,5401.0,2799.0,50000,3
기아 올 뉴 카니발 2.2 디젤 7인승 리무진 VIP,2016.0,202.0,4.0,45.0,3530.0,3060.0,20000,0
쉐보레 스파크 LS,2012.0,70.0,4.0,9.4,1010.0,380.0,20000,0
GM대우 뉴 다마스 코치 5인승 슈퍼,2014.0,43.0,4.0,6.7,946.0,1.0,30000,0
기아 포르테 1.6 CVVT W 에디션,2010.0,124.0,4.0,15.9,1699.0,510.0,130000,0
기아 그랜드카니발 리미티드 최고급형,2008.0,170.0,4.0,36.0,3170.0,1100.0,160000,0
기아 스포티지R 2.0 디젤 4WD 리미티드,2012.0,184.0,4.0,40.0,3000.0,1580.0,100000,2
기아 모하비 QV300 4WD 상시4WD,2014.0,260.0,6.0,56.0,4200.0,2690.0,90000,2
현대 그랜져HG 240 럭셔리,2011.0,201.0,4.0,25.5,2994.0,1399.0,80000,0
기아 올 뉴 카니발 2.2 디젤 7인승 리무진 프레지던트,2016.0,202.0,4.0,45.0,3890.0,3299.0,10000,0
현대 제네시스 쿠페 200 터보 D,2010.0,210.0,4.0,30.5,2320.0,1030.0,100000,1
현대 싼타페TM 2.0 디젤 2WD 인스퍼레이션,2020.0,186.0,4.0,41.0,3868.0,3750.0,23,0
현대 그랜져HG 240 럭셔리,2012.0,201.0,4.0,25.5,2994.0,2160.0,70000,0
쉐보레 스파크 LT 스페셜 에디션,2015.0,70.0,4.0,9.4,1049.0,590.0,30000,0
기아 더 뉴 K5 터보 노블레스,2015.0,271.0,4.0,37.1,3020.0,1590.0,70000,0
르노삼성 뉴 SM5 LE 블랙 에디션,2007.0,140.0,4.0,18.8,2330.0,690.0,140000,0
GM대우 마티즈 크리에이티브 그루브 스타,2010.0,70.0,4.0,9.4,1089.0,299.0,80000,0
현대 싼타페DM 2.0 VGT 2WD 익스클루시브 스페셜,2015.0,184.0,4.0,41.0,3318.0,2090.0,90000,0
현대 YF쏘나타 2.0 Y20 프리미어,2011.0,165.0,4.0,20.2,2547.0,600.0,60000,0
기아 스포티지R 2.0 디젤 2WD TLX 고급형,2013.0,184.0,4.0,40.0,2190.0,899.0,130000,0
현대 뉴 에쿠스 VS 380 익스클루시브,2015.0,334.0,6.0,40.3,8747.0,3950.0,70000,1
르노삼성 QM5 디젤 2WD LE 프리미엄,2009.0,150.0,4.0,32.6,2720.0,450.0,160000,0
현대 그랜져HG 240 럭셔리,2011.0,201.0,4.0,25.5,2994.0,1250.0,180000,0
르노삼성 SM7 VQ23 LE,2007.0,170.0,6.0,23.0,2930.0,650.0,120000,0
기아 올 뉴 카니발 2.2 디젤 9인승 노블레스 스페셜,2015.0,202.0,4.0,45.0,3885.0,2290.0,120000,0
현대 제네시스 쿠페 380 GT P,2010.0,303.0,6.0,36.8,3042.0,930.0,130000,1
기아 그랜드카니발 리미티드 최고급형,2007.0,170.0,4.0,36.0,3170.0,600.0,260000,0
쌍용 뉴체어맨 CM600S 마제스티,2006.0,220.0,6.0,32.0,5707.0,490.0,170000,1
기아 더 뉴 K5 2.0 트렌디,2015.0,172.0,4.0,20.5,2485.0,1730.0,40000,0
현대 그랜져TG L330 모젠 탑 메모리팩,2005.0,233.0,6.0,31.0,3794.0,890.0,180000,0
현대 i30 1.6 VVT 프리미어,2009.0,124.0,4.0,15.9,1743.0,550.0,100000,0
현대 뉴 에쿠스 VS 380 프라임,2012.0,334.0,6.0,40.3,7534.0,3950.0,40000,1
현대 LF쏘나타 1.7 e-VGT 스마트,2016.0,141.0,4.0,34.7,2729.0,1440.0,50000,0
기아 K5 2.0 프레스티지,2012.0,165.0,4.0,20.2,2600.0,1670.0,60000,0
기아 레이 1.0 가솔린 디럭스 스페셜,2013.0,78.0,3.0,9.6,1310.0,770.0,30000,0
현대 싼타페 더 프라임 2.2 디젤 4WD 프리미엄,2016.0,202.0,4.0,45.0,3325.0,1700.0,120000,2
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 프레스티지,2015.0,202.0,4.0,45.0,4985.0,3990.0,70000,0
현대 쏘나타 하이브리드 2.0 HEV 프리미엄,2014.0,191.0,4.0,27.0,3343.0,1950.0,30000,0
르노삼성 뉴 SM5 LE ,2006.0,140.0,4.0,18.8,2220.0,870.0,180000,0
기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,2018.0,202.0,4.0,45.0,3380.0,2690.0,40000,0
기아 K7 VG350 노블레스 프리미엄,2011.0,290.0,6.0,34.5,4135.0,1690.0,90000,0
현대 싼타페DM 2.0 VGT 2WD 익스클루시브 스페셜,2013.0,184.0,4.0,41.0,3318.0,1650.0,120000,0
현대 제네시스 BH330 럭셔리 프라임팩,2008.0,262.0,6.0,32.1,4898.0,1600.0,110000,1
기아 올 뉴 카니발 하이리무진 2.2 디젤 9인승 프레스티지,2015.0,202.0,4.0,45.0,4985.0,4680.0,20000,0
현대 i40 1.7 VGT 왜건 모던,2012.0,140.0,4.0,33.0,3005.0,1070.0,120000,0
현대 뉴 i30 1.6 VGT 익스트림,2013.0,128.0,4.0,26.5,2205.0,1350.0,80000,0
현대 싼타페DM 2.2 VGT 4WD 익스클루시브,2015.0,200.0,4.0,44.5,3490.0,1250.0,200000,2
쉐보레 더 넥스트 스파크 1.0 LT 플러스,2016.0,75.0,4.0,9.6,1136.0,720.0,40000,0
현대 제네시스 BH380 로얄 VIP 팩,2012.0,290.0,6.0,36.5,6021.0,2290.0,180000,1
현대 벨로스터 DCT 팩,2013.0,140.0,4.0,17.0,2200.0,890.0,70000,0
현대 그랜져TG L330 모젠 탑,2005.0,233.0,6.0,31.0,3862.0,699.0,80000,0
현대 뉴 제네시스 G330 프리미엄 AWD,2016.0,282.0,6.0,35.4,5401.0,3920.0,20000,3
현대 뉴 에쿠스 VS 380 프레스티지,2012.0,334.0,6.0,40.3,8590.0,2160.0,200000,1
기아 더 뉴 쏘렌토 2.2 디젤 4WD 노블레스 스페셜,2018.0,202.0,4.0,45.0,3635.0,2400.0,20000,3
쉐보레 크루즈 1.8 LTZ 플러스,2013.0,142.0,4.0,17.9,2042.0,620.0,30000,0
기아 K5 2.0 디럭스,2011.0,165.0,4.0,20.2,2365.0,790.0,140000,0
르노삼성 뉴 SM5 LE,2007.0,140.0,4.0,18.8,2270.0,280.0,210000,0
기아 뉴모닝 SLX 고급형,2011.0,64.0,4.0,8.8,835.0,430.0,80000,0
현대 싼타페 더 프라임 2.0 디젤 2WD 익스클루시브 스페셜,2017.0,186.0,4.0,41.0,3295.0,2150.0,60000,0
현대 제네시스 쿠페 200 터보 P,2009.0,210.0,4.0,30.5,2641.0,1280.0,50000,1
르노삼성 SM5 뉴 임프레션 SE,2008.0,143.0,4.0,20.0,2100.0,399.0,140000,0
제네시스 EQ900 3.8 GDi AWD 럭셔리,2016.0,315.0,6.0,40.5,7415.0,2550.0,200000,3
현대 i30CW 1.6 VVT 럭셔리,2009.0,124.0,4.0,15.9,1510.0,799.0,70000,0
쌍용 로디우스 RD400 11인승 2WD 최고급형,2004.0,165.0,5.0,34.7,2328.0,488.0,220000,1
쌍용 뉴 체어맨W CW700 4트로닉 VVIP,2012.0,250.0,6.0,35.0,7865.0,2430.0,70000,3
기아 K5 2.0 가솔린 MX 노블레스,2017.0,168.0,4.0,20.5,2705.0,1790.0,20000,0
기아 레이 1.0 바이퓨얼 프레스티지,2014.0,78.0,3.0,9.6,1644.0,590.0,160000,0
기아 스포티지 4세대 2.0 디젤 2WD 노블레스 스페셜,2016.0,186.0,4.0,41.0,2842.0,2300.0,20000,0
기아 포르테 쿱 1.6 GDI 프레스티지,2011.0,140.0,4.0,16.9,1885.0,370.0,130000,0
현대 제네시스 쿠페 200 터보 P,2009.0,210.0,4.0,30.5,2641.0,1350.0,90000,1
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 프레스티지,2016.0,202.0,4.0,45.0,4985.0,3430.0,20000,0
현대 제네시스 쿠페 200 터보 P,2009.0,210.0,4.0,30.5,2641.0,690.0,130000,1
현대 제네시스 쿠페 200 터보 P,2009.0,210.0,4.0,30.5,2641.0,550.0,180000,1
현대 쏘나타 하이브리드 2.0 HEV 로얄,2012.0,191.0,4.0,27.0,3438.0,990.0,100000,0
기아 더 뉴 모하비 3.0 디젤 상시4WD 프레지던트,2018.0,260.0,6.0,56.1,4761.0,3790.0,10000,2
기아 K5 2.4 GDI 프레스티지,2011.0,201.0,4.0,25.5,2825.0,1250.0,120000,0
기아 K9 3.3 GDI 노블레스 스페셜,2013.0,300.0,6.0,35.5,6400.0,1890.0,200000,1
쉐보레 스파크 LT,2014.0,70.0,4.0,9.4,1168.0,500.0,60000,0
기아 올 뉴 카니발 하이리무진 2.2 디젤 9인승 프레스티지,2016.0,202.0,4.0,45.0,4985.0,4100.0,40000,0
현대 제네시스 BH380 로얄 VIP 팩,2012.0,334.0,6.0,40.3,6290.0,1250.0,250000,1
기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스 스페셜,2016.0,186.0,4.0,41.0,3320.0,1830.0,150000,0
기아 K7 VG270 럭셔리,2010.0,200.0,6.0,26.0,3330.0,800.0,100000,0
현대 NF쏘나타 N20 엘레강스 스페셜 기본형,2007.0,144.0,4.0,23.0,2010.0,490.0,230000,0
현대 아반떼AD 스포츠 1.6 T-GDi M/T,2018.0,204.0,4.0,26.9,1965.0,1790.0,10000,0
현대 싼타페DM 2.0 VGT 2WD 익스클루시브 스페셜,2014.0,184.0,4.0,41.0,3318.0,1630.0,100000,0
기아 K5 2.4 GDI 노블레스,2011.0,201.0,4.0,25.5,2965.0,550.0,200000,0
쉐보레 더 뉴 말리부 1.6 디젤 LT 프리미엄,2019.0,136.0,4.0,32.6,3195.0,2490.0,2000,0
현대 그랜져TG L330  탑,2006.0,233.0,6.0,31.0,3577.0,450.0,170000,0
기아 스포티지R 2.0 디젤 4WD 리미티드,2012.0,184.0,4.0,40.0,3000.0,990.0,120000,2
쉐보레 스파크 LPGi L,2012.0,65.0,4.0,9.3,1023.0,490.0,60000,0
현대 아반떼AD 1.6 GDi 모던 스페셜,2016.0,132.0,4.0,16.3,2052.0,1499.0,50000,0
쉐보레 말리부 2.0 디젤 LT 프리미엄팩,2015.0,156.0,6.0,35.8,3037.0,1630.0,90000,0
르노삼성 SM7 뉴 아트 LE23,2011.0,170.0,6.0,23.0,3080.0,420.0,190000,0
현대 YF쏘나타 2.0 F20 터보 최고급형,2012.0,271.0,4.0,37.1,2960.0,990.0,160000,0
현대 i30 1.6 VVT 프리미어,2009.0,124.0,4.0,15.9,1743.0,590.0,120000,0
기아 K5 2.0 노블레스,2012.0,165.0,4.0,20.2,2730.0,520.0,140000,0
제네시스 EQ900 5.0 GDi AWD 프레스티지,2016.0,425.0,8.0,53.0,11490.0,7400.0,40000,3
현대 뉴 에쿠스 VS 380 프레스티지,2015.0,334.0,6.0,40.3,10347.0,5750.0,30000,1
현대 그랜져IG 2.4 GDI 프리미엄,2018.0,190.0,4.0,24.6,3215.0,2390.0,60000,0
기아 포르테 1.6 CVVT 프리미엄 SI 블랙,2010.0,124.0,4.0,15.9,1731.0,580.0,60000,0
현대 제네시스 쿠페 200 터보 P,2009.0,210.0,4.0,30.5,2641.0,1290.0,80000,1
현대 뉴 에쿠스 VS 380 럭셔리,2010.0,290.0,6.0,36.5,6622.0,1970.0,200000,1
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스,2018.0,202.0,4.0,45.0,5544.0,3600.0,80000,0
현대 뉴 제네시스 G330 프리미엄 AWD,2016.0,282.0,6.0,35.4,5401.0,2480.0,100000,3
현대 벨로스터 유니크 ,2012.0,140.0,4.0,17.0,1790.0,882.0,90000,0
기아 더 프레스티지 K7 2.4 GDI 프레스티지,2012.0,201.0,4.0,25.5,3136.0,1490.0,70000,0
르노삼성 SM6 1.6 TCe RE,2016.0,190.0,4.0,26.5,3250.0,2540.0,10000,0
기아 더 뉴 K5 2.0 노블레스,2015.0,172.0,4.0,20.5,2820.0,2320.0,50000,0
르노삼성 SM7 뉴 아트 LE23,2011.0,170.0,6.0,23.0,3080.0,649.0,150000,0
기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,2014.0,184.0,4.0,41.0,2565.0,1800.0,80000,0
현대 제네시스 BH330 모던,2013.0,300.0,6.0,35.5,4338.0,1350.0,130000,1
쉐보레 트랙스 1.6 디젤 LTZ,2016.0,135.0,4.0,32.7,2495.0,1290.0,50000,0
현대 제네시스 쿠페 200 터보 P,2010.0,210.0,4.0,30.5,2641.0,599.0,160000,1
기아 더 뉴 모하비 3.0 디젤 상시4WD 프레지던트,2017.0,260.0,6.0,56.1,4680.0,3443.0,30000,2
기아 레이 1.0 가솔린 럭셔리,2014.0,78.0,3.0,9.6,1406.0,950.0,20000,0
현대 벨로스터 유니크,2012.0,140.0,4.0,17.0,1790.0,690.0,150000,0
현대 그랜져HG 240 모던,2013.0,201.0,4.0,25.5,2976.0,2290.0,70000,0
쌍용 체어맨W CW600 프레스티지,2010.0,225.0,6.0,30.2,5615.0,1110.0,50000,1
현대 싼타페DM 2.0 VGT 2WD 익스클루시브,2013.0,184.0,4.0,41.0,3394.0,1400.0,110000,0
현대 투싼ix 디젤 LX20 2WD 프리미어,2010.0,184.0,4.0,40.0,2500.0,759.0,170000,0
현대 아반떼AD 스포츠 1.6 T-GDi 익스트림 셀렉션,2017.0,204.0,4.0,26.9,2415.0,1899.0,10000,0
현대 NF쏘나타 N20 엘레강스 스페셜 슈퍼형,2006.0,144.0,4.0,23.0,2174.0,120.0,100000,0
기아 K3 1.6 GDI 럭셔리,2015.0,140.0,4.0,16.9,1744.0,1190.0,40000,0
현대 뉴 에쿠스 VS 380 모던,2015.0,334.0,6.0,40.3,6783.0,2090.0,160000,1
기아 포르테 쿱 1.6 GDI 프레스티지,2011.0,140.0,4.0,16.9,1885.0,620.0,80000,0
쌍용 액티언 CX7 2WD 고급형,2008.0,142.0,4.0,31.6,2096.0,380.0,130000,1
현대 아반떼HD 1.6 VVT S16 럭셔리,2007.0,121.0,4.0,15.9,1365.0,350.0,150000,0
르노삼성 QM3 RE,2014.0,90.0,4.0,22.4,2450.0,1730.0,20000,0
쉐보레 스파크 LT,2012.0,70.0,4.0,9.4,1143.0,430.0,90000,0
현대 제네시스 쿠페 200 터보 P,2010.0,210.0,4.0,30.5,2641.0,1120.0,90000,1
현대 제네시스 쿠페 200 터보 P,2009.0,210.0,4.0,30.5,2641.0,820.0,110000,1
현대 뉴 에쿠스 VS 380 프라임,2010.0,290.0,6.0,36.5,7580.0,2250.0,150000,1
르노삼성 QM3 RE,2016.0,90.0,4.0,22.4,2450.0,1880.0,10000,0
현대 트라제XG 2.0 골드 디젤 9인승 최고급형,2004.0,126.0,4.0,29.5,2374.0,450.0,140000,0
현대 더 뉴 맥스크루즈 R2.2 e-VGT 4WD 파이니스트 에디션,2016.0,202.0,4.0,45.0,4309.0,1990.0,160000,2
기아 뉴 쏘렌토R 디젤 2.0 2WD 리미티드 스페셜,2013.0,184.0,4.0,41.0,3430.0,1590.0,80000,0
현대 NF쏘나타 N20 디럭스 고급형,2007.0,144.0,4.0,23.0,1894.0,250.0,170000,0
기아 더 뉴 K7 3.0 GDI 프레스티지 스페셜,2013.0,270.0,6.0,31.6,3688.0,1020.0,170000,0
현대 뉴 제네시스 G330 프리미엄,2015.0,282.0,6.0,35.4,5255.0,4200.0,30000,1
쉐보레 올 뉴 말리부 1.5 터보 LS 디럭스,2018.0,166.0,4.0,25.5,2461.0,1550.0,9000,0
기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,2015.0,202.0,4.0,45.0,3270.0,2999.0,50000,0
기아 포르테 쿱 1.6 GDI 프레스티지,2011.0,140.0,4.0,16.9,1885.0,590.0,50000,0
GM대우 마티즈 크리에이티브 그루브 일반형,2010.0,70.0,4.0,9.4,1009.0,399.0,60000,0
현대 그랜져TG Q270 디럭스,2006.0,195.0,6.0,25.6,2771.0,399.0,180000,0
쉐보레 더 넥스트 스파크 1.0 LTZ,2016.0,75.0,4.0,9.6,1308.0,820.0,40000,0
현대 뉴 제네시스 G330 프리미엄 AWD,2014.0,282.0,6.0,35.4,5510.0,3500.0,60000,3
기아 더 뉴 K7 3.3 GDI 노블레스,2013.0,294.0,6.0,35.3,4194.0,2250.0,80000,0
현대 제네시스 쿠페 380 GT P,2009.0,303.0,6.0,36.8,3042.0,1320.0,120000,1
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,2013.0,201.0,4.0,25.5,3141.0,1350.0,80000,0
쌍용 티볼리 1.6 디젤 2WD TX,2017.0,115.0,4.0,30.6,2060.0,1050.0,150000,0
현대 제네시스 쿠페 380 GT RW,2010.0,303.0,6.0,36.8,3428.0,1350.0,120000,1
GM대우 라세티 프리미어 디젤 CDX 고급형,2010.0,150.0,4.0,32.7,2110.0,680.0,140000,0
기아 그랜드카니발 GX 그랜드팩,2009.0,170.0,4.0,36.0,2170.0,1150.0,120000,0
쉐보레 크루즈 1.8 LTZ 퍼팩트 블랙,2014.0,142.0,4.0,17.9,2027.0,1300.0,50000,0
기아 뉴 오피러스 GH330 고급형 럭셔리,2008.0,247.0,6.0,31.5,4140.0,490.0,150000,0
현대 싼타페 더 프라임 2.0 디젤 2WD 프리미엄,2017.0,186.0,4.0,41.0,2985.0,2370.0,10000,0
기아 뉴 카렌스 2.0 LPI GX 최고급형,2007.0,136.0,4.0,18.9,1740.0,380.0,120000,0
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 프레스티지,2018.0,202.0,4.0,45.0,5163.0,4460.0,50000,0
기아 올 뉴 모닝 1.0 가솔린 럭셔리,2012.0,82.0,3.0,9.6,1176.0,350.0,100000,0
쌍용 체어맨W CW700 프레스티지,2008.0,250.0,6.0,35.0,6620.0,520.0,160000,1
현대 싼타페DM 2.0 VGT 2WD 모던,2014.0,184.0,4.0,41.0,2875.0,1790.0,50000,0
기아 그랜드카니발 R 하이리무진 11인승 2.2 GLX 프리미엄,2012.0,197.0,4.0,44.5,4541.0,1550.0,110000,0
현대 더 뉴 제네시스 쿠페 380 GT R,2013.0,350.0,6.0,40.8,3536.0,2350.0,40000,1
현대 싼타페DM 2.0 VGT 4WD 모던,2013.0,184.0,4.0,41.0,3152.0,1560.0,90000,2
